year,level_1,level_2,level_3,value
1960,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,228.2
1960,GDP At Current Market Prices,Goods Producing Industries,Construction,67.7
1960,GDP At Current Market Prices,Goods Producing Industries,Utilities,57
1960,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,79.9
1960,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,601.5
1960,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,256.3
1960,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,81.5
1960,GDP At Current Market Prices,Services Producing Industries,Information & Communications,50.3
1960,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,71.9
1960,GDP At Current Market Prices,Services Producing Industries,Business Services,146.4
1960,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,330.8
1961,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,241.1
1961,GDP At Current Market Prices,Goods Producing Industries,Construction,93.6
1961,GDP At Current Market Prices,Goods Producing Industries,Utilities,60
1961,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,82.2
1961,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,652.9
1961,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,272.8
1961,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,86.5
1961,GDP At Current Market Prices,Services Producing Industries,Information & Communications,51.3
1961,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,86.5
1961,GDP At Current Market Prices,Services Producing Industries,Business Services,162.3
1961,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,359.1
1962,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,271.4
1962,GDP At Current Market Prices,Goods Producing Industries,Construction,104.4
1962,GDP At Current Market Prices,Goods Producing Industries,Utilities,69.2
1962,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,90.8
1962,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,685.4
1962,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,280.4
1962,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,91.1
1962,GDP At Current Market Prices,Services Producing Industries,Information & Communications,54.4
1962,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,97.9
1962,GDP At Current Market Prices,Services Producing Industries,Business Services,199.8
1962,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,383.1
1963,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,328.5
1963,GDP At Current Market Prices,Goods Producing Industries,Construction,127.6
1963,GDP At Current Market Prices,Goods Producing Industries,Utilities,71.4
1963,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,91.3
1963,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,795.6
1963,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,286.7
1963,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,97.1
1963,GDP At Current Market Prices,Services Producing Industries,Information & Communications,56.5
1963,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,107.7
1963,GDP At Current Market Prices,Services Producing Industries,Business Services,216.5
1963,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,424
1964,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,350.7
1964,GDP At Current Market Prices,Goods Producing Industries,Construction,150.5
1964,GDP At Current Market Prices,Goods Producing Industries,Utilities,80.5
1964,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,91.2
1964,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,634.9
1964,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,269.7
1964,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,100.8
1964,GDP At Current Market Prices,Services Producing Industries,Information & Communications,57.4
1964,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,118.3
1964,GDP At Current Market Prices,Services Producing Industries,Business Services,230.1
1964,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,437.7
1965,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,403.9
1965,GDP At Current Market Prices,Goods Producing Industries,Construction,176.6
1965,GDP At Current Market Prices,Goods Producing Industries,Utilities,80.4
1965,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,91.6
1965,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,665.6
1965,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,294.2
1965,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,105.2
1965,GDP At Current Market Prices,Services Producing Industries,Information & Communications,59.3
1965,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,130.3
1965,GDP At Current Market Prices,Services Producing Industries,Business Services,261.3
1965,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,464.8
1966,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,473
1966,GDP At Current Market Prices,Goods Producing Industries,Construction,176.7
1966,GDP At Current Market Prices,Goods Producing Industries,Utilities,96.6
1966,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,109.8
1966,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,795.5
1966,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,310.3
1966,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,114.9
1966,GDP At Current Market Prices,Services Producing Industries,Information & Communications,64.6
1966,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,148.9
1966,GDP At Current Market Prices,Services Producing Industries,Business Services,281.1
1966,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,505.2
1967,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,547.8
1967,GDP At Current Market Prices,Goods Producing Industries,Construction,203.1
1967,GDP At Current Market Prices,Goods Producing Industries,Utilities,119.1
1967,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,115.4
1967,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,941.2
1967,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,342
1967,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,132.7
1967,GDP At Current Market Prices,Services Producing Industries,Information & Communications,73.7
1967,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,165.5
1967,GDP At Current Market Prices,Services Producing Industries,Business Services,331.6
1967,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,530.5
1968,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,659.3
1968,GDP At Current Market Prices,Goods Producing Industries,Construction,247.4
1968,GDP At Current Market Prices,Goods Producing Industries,Utilities,134.8
1968,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,133.1
1968,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1066.2
1968,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,399.2
1968,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,151.5
1968,GDP At Current Market Prices,Services Producing Industries,Information & Communications,87.2
1968,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,211.6
1968,GDP At Current Market Prices,Services Producing Industries,Business Services,372.8
1968,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,577.2
1969,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,821.9
1969,GDP At Current Market Prices,Goods Producing Industries,Construction,285.4
1969,GDP At Current Market Prices,Goods Producing Industries,Utilities,146.2
1969,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,142.9
1969,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1259.1
1969,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,459
1969,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,169.4
1969,GDP At Current Market Prices,Services Producing Industries,Information & Communications,94.1
1969,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,265.7
1969,GDP At Current Market Prices,Services Producing Industries,Business Services,432.6
1969,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,616.6
1970,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,1026.2
1970,GDP At Current Market Prices,Goods Producing Industries,Construction,388.7
1970,GDP At Current Market Prices,Goods Producing Industries,Utilities,168.5
1970,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,150.8
1970,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1350.6
1970,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,529.5
1970,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,191.8
1970,GDP At Current Market Prices,Services Producing Industries,Information & Communications,104.4
1970,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,298.3
1970,GDP At Current Market Prices,Services Producing Industries,Business Services,508.7
1970,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,683.1
1971,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,1288.8
1971,GDP At Current Market Prices,Goods Producing Industries,Construction,499.2
1971,GDP At Current Market Prices,Goods Producing Industries,Utilities,185.9
1971,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,179.1
1971,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1508.8
1971,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,630.2
1971,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,230.2
1971,GDP At Current Market Prices,Services Producing Industries,Information & Communications,120.1
1971,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,356.8
1971,GDP At Current Market Prices,Services Producing Industries,Business Services,618.3
1971,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,778.5
1972,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,1674.5
1972,GDP At Current Market Prices,Goods Producing Industries,Construction,682
1972,GDP At Current Market Prices,Goods Producing Industries,Utilities,210.3
1972,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,183.7
1972,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1662.5
1972,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,773.3
1972,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,276.7
1972,GDP At Current Market Prices,Services Producing Industries,Information & Communications,144.8
1972,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,449.2
1972,GDP At Current Market Prices,Services Producing Industries,Business Services,742.4
1972,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,860.8
1973,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,2213.9
1973,GDP At Current Market Prices,Goods Producing Industries,Construction,717.1
1973,GDP At Current Market Prices,Goods Producing Industries,Utilities,246.4
1973,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,237.7
1973,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,2238.5
1973,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,945.1
1973,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,358.2
1973,GDP At Current Market Prices,Services Producing Industries,Information & Communications,173.8
1973,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,626.4
1973,GDP At Current Market Prices,Services Producing Industries,Business Services,884
1973,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,994.5
1974,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,2822.7
1974,GDP At Current Market Prices,Goods Producing Industries,Construction,916.9
1974,GDP At Current Market Prices,Goods Producing Industries,Utilities,266.6
1974,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,258
1974,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,2879.7
1974,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,1130.6
1974,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,415.6
1974,GDP At Current Market Prices,Services Producing Industries,Information & Communications,213
1974,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,792.7
1974,GDP At Current Market Prices,Services Producing Industries,Business Services,1096.8
1974,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,1246.5
1975,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,2943
1975,GDP At Current Market Prices,Goods Producing Industries,Construction,1052.3
1975,GDP At Current Market Prices,Goods Producing Industries,Utilities,289.2
1975,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,295.9
1975,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,2818.5
1975,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,1261.6
1975,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,463.1
1975,GDP At Current Market Prices,Services Producing Industries,Information & Communications,274
1975,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,987.7
1975,GDP At Current Market Prices,Services Producing Industries,Business Services,1118.9
1975,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,1399.3
1976,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,3313.1
1976,GDP At Current Market Prices,Goods Producing Industries,Construction,1169.3
1976,GDP At Current Market Prices,Goods Producing Industries,Utilities,315
1976,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,306.6
1976,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,2931
1976,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,1516.8
1976,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,508.7
1976,GDP At Current Market Prices,Services Producing Industries,Information & Communications,303.8
1976,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,1089.2
1976,GDP At Current Market Prices,Services Producing Industries,Business Services,1168.4
1976,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,1483.3
1977,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,3695.3
1977,GDP At Current Market Prices,Goods Producing Industries,Construction,1162.4
1977,GDP At Current Market Prices,Goods Producing Industries,Utilities,334.6
1977,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,325.7
1977,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,3221.7
1977,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,1778
1977,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,572.8
1977,GDP At Current Market Prices,Services Producing Industries,Information & Communications,365.2
1977,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,1131.8
1977,GDP At Current Market Prices,Services Producing Industries,Business Services,1222.5
1977,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,1544.8
1978,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,4279.2
1978,GDP At Current Market Prices,Goods Producing Industries,Construction,1084.1
1978,GDP At Current Market Prices,Goods Producing Industries,Utilities,396.2
1978,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,305.4
1978,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,3520.7
1978,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,2187.8
1978,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,668.1
1978,GDP At Current Market Prices,Services Producing Industries,Information & Communications,463.8
1978,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,1354.5
1978,GDP At Current Market Prices,Services Producing Industries,Business Services,1285.9
1978,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,1680.7
1979,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,5338.3
1979,GDP At Current Market Prices,Goods Producing Industries,Construction,1187.3
1979,GDP At Current Market Prices,Goods Producing Industries,Utilities,469.4
1979,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,327.5
1979,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,3882.4
1979,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,2420.3
1979,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,790.2
1979,GDP At Current Market Prices,Services Producing Industries,Information & Communications,523.1
1979,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,1612.3
1979,GDP At Current Market Prices,Services Producing Industries,Business Services,1452.3
1979,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,1862.7
1980,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,6862.2
1980,GDP At Current Market Prices,Goods Producing Industries,Construction,1555.3
1980,GDP At Current Market Prices,Goods Producing Industries,Utilities,605.9
1980,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,390.5
1980,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,4234.4
1980,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,2958.6
1980,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,998.9
1980,GDP At Current Market Prices,Services Producing Industries,Information & Communications,632.3
1980,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,2293.9
1980,GDP At Current Market Prices,Services Producing Industries,Business Services,1800.7
1980,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,2095.9
1981,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,7818.1
1981,GDP At Current Market Prices,Goods Producing Industries,Construction,2097.7
1981,GDP At Current Market Prices,Goods Producing Industries,Utilities,534.4
1981,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,444.1
1981,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,4344.4
1981,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,3382.8
1981,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1181.9
1981,GDP At Current Market Prices,Services Producing Industries,Information & Communications,755.8
1981,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,3146.3
1981,GDP At Current Market Prices,Services Producing Industries,Business Services,2503
1981,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,2422.4
1982,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,7575.4
1982,GDP At Current Market Prices,Goods Producing Industries,Construction,3079.6
1982,GDP At Current Market Prices,Goods Producing Industries,Utilities,672.8
1982,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,456.5
1982,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,4681.1
1982,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,3662.5
1982,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1348.1
1982,GDP At Current Market Prices,Services Producing Industries,Information & Communications,812.8
1982,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,3660
1982,GDP At Current Market Prices,Services Producing Industries,Business Services,3169.5
1982,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,3072.7
1983,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,8168.9
1983,GDP At Current Market Prices,Goods Producing Industries,Construction,4155.3
1983,GDP At Current Market Prices,Goods Producing Industries,Utilities,780.3
1983,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,448.5
1983,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,4871.8
1983,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,4182.6
1983,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1399.4
1983,GDP At Current Market Prices,Services Producing Industries,Information & Communications,860.3
1983,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,3953.1
1983,GDP At Current Market Prices,Services Producing Industries,Business Services,3477.3
1983,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,3510
1984,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,8931.3
1984,GDP At Current Market Prices,Goods Producing Industries,Construction,4884.5
1984,GDP At Current Market Prices,Goods Producing Industries,Utilities,855.9
1984,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,446.5
1984,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,4987.7
1984,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,4458.7
1984,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1410.5
1984,GDP At Current Market Prices,Services Producing Industries,Information & Communications,952.4
1984,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,4549.2
1984,GDP At Current Market Prices,Services Producing Industries,Business Services,3613.5
1984,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,3924.1
1985,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,8219.7
1985,GDP At Current Market Prices,Goods Producing Industries,Construction,4042.8
1985,GDP At Current Market Prices,Goods Producing Industries,Utilities,884.4
1985,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,376.4
1985,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,4683.5
1985,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,4642.4
1985,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1388.7
1985,GDP At Current Market Prices,Services Producing Industries,Information & Communications,964
1985,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,5069.5
1985,GDP At Current Market Prices,Services Producing Industries,Business Services,3398.7
1985,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,4307.6
1986,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,9247.4
1986,GDP At Current Market Prices,Goods Producing Industries,Construction,3136.4
1986,GDP At Current Market Prices,Goods Producing Industries,Utilities,1163.4
1986,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,293.2
1986,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,4661.5
1986,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,4687.6
1986,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1367.2
1986,GDP At Current Market Prices,Services Producing Industries,Information & Communications,980.2
1986,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,4838.4
1986,GDP At Current Market Prices,Services Producing Industries,Business Services,3335.2
1986,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,4318.2
1987,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,10972.9
1987,GDP At Current Market Prices,Goods Producing Industries,Construction,2837.6
1987,GDP At Current Market Prices,Goods Producing Industries,Utilities,1046.6
1987,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,250.8
1987,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,5242.7
1987,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,5181.3
1987,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1471.2
1987,GDP At Current Market Prices,Services Producing Industries,Information & Communications,1113.9
1987,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,5844.2
1987,GDP At Current Market Prices,Services Producing Industries,Business Services,3468.1
1987,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,4567.2
1988,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,13934.3
1988,GDP At Current Market Prices,Goods Producing Industries,Construction,2760.4
1988,GDP At Current Market Prices,Goods Producing Industries,Utilities,1249
1988,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,222.8
1988,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,6178.2
1988,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,6082.9
1988,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1719.8
1988,GDP At Current Market Prices,Services Producing Industries,Information & Communications,1349.8
1988,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,6201.5
1988,GDP At Current Market Prices,Services Producing Industries,Business Services,4323.9
1988,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,5095.4
1989,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,15511.8
1989,GDP At Current Market Prices,Goods Producing Industries,Construction,2962.7
1989,GDP At Current Market Prices,Goods Producing Industries,Utilities,1217.4
1989,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,218.2
1989,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,6763.2
1989,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,6967.4
1989,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,2101.3
